Random,First-Fit (K8s),Greedy Latency,RL Agent (PPO)
47.8,-10.059999999999999,14.560000000000002,58.760000000000005
6.400000000000002,13.200000000000003,14.320000000000002,126.74000000000001
12.0,14.500000000000007,14.280000000000001,83.38000000000001
22.400000000000002,-6.119999999999999,19.28,84.6
3.379999999999999,13.260000000000002,12.86,81.38
52.8,-5.059999999999999,-5.0600000000000005,67.38
34.8,8.780000000000001,8.920000000000002,77.19999999999999
35.8,10.0,9.98,55.4
29.8,14.520000000000003,14.740000000000002,84.17999999999999
30.6,14.72,14.320000000000002,62.94
-29.4,26.299999999999997,25.54,119.78000000000003
21.0,0.0,-0.03999999999999915,22.8
-2.799999999999997,-7.340000000000002,-8.219999999999997,97.78
51.980000000000004,-15.039999999999996,-15.62,75.78
43.0,9.940000000000001,9.980000000000004,55.58
-54.8,-3.0599999999999987,-1.959999999999999,110.56
51.58,4.560000000000002,3.8999999999999986,87.98
55.599999999999994,14.3,14.399999999999999,56.78
34.8,13.240000000000004,13.480000000000004,80.39999999999999
60.0,4.900000000000002,4.920000000000002,50.0
16.599999999999994,-1.359999999999994,-1.7799999999999994,81.75999999999999
68.19999999999999,9.380000000000003,9.519999999999996,81.39999999999999
-5.600000000000001,31.400000000000002,32.18000000000001,88.55999999999999
46.8,9.900000000000002,10.0,57.400000000000006
41.0,-0.019999999999999574,-0.03999999999999915,46.38
36.0,-5.079999999999998,-5.059999999999999,18.980000000000004
13.759999999999994,17.619999999999997,15.579999999999998,116.98000000000002
27.0,4.92,4.900000000000002,72.58
-59.44,12.220000000000002,11.000000000000004,59.39999999999999
53.17999999999999,21.440000000000005,22.860000000000003,78.96
24.0,9.920000000000002,9.96,55.2
4.979999999999993,-5.9999999999999964,-7.319999999999997,99.96000000000001
-54.22,-13.039999999999997,12.760000000000005,86.31999999999998
30.799999999999997,4.9399999999999995,4.960000000000001,76.36
22.8,23.94,-0.4999999999999982,44.379999999999995
43.0,4.940000000000001,4.880000000000001,27.98
18.0,4.320000000000004,4.4,66.98
23.0,14.760000000000002,-10.079999999999998,81.2
-87.22,19.560000000000002,21.199999999999996,77.88
47.8,9.940000000000001,9.96,56.38000000000001
45.599999999999994,-5.039999999999999,-5.02,63.8
-60.239999999999995,1.5600000000000023,2.359999999999996,61.3
-30.200000000000006,8.020000000000003,9.259999999999998,111.53999999999998
29.8,-0.019999999999999574,0.0,48.0
20.799999999999997,14.079999999999998,12.680000000000003,124.11999999999999
41.379999999999995,14.26,13.600000000000001,73.59999999999998
-22.240000000000013,-3.539999999999999,-2.8999999999999986,53.38
54.39999999999999,24.720000000000002,-0.13999999999999702,90.57999999999998
2.580000000000002,19.78,-5.119999999999997,107.59999999999997
49.8,19.740000000000002,19.96,42.36000000000001
11.199999999999989,-7.359999999999999,-6.599999999999996,111.13999999999999
47.39999999999999,18.44,19.259999999999998,83.77999999999999
51.39999999999999,14.040000000000001,-10.079999999999998,58.980000000000004
10.799999999999997,13.24,13.84,73.99999999999999
26.6,-10.1,-10.1,56.800000000000004
18.77999999999999,12.000000000000004,-12.24,63.55999999999999
22.599999999999998,13.260000000000005,13.060000000000002,97.55999999999999
-23.199999999999996,17.28,16.96,52.58
-40.86,19.660000000000004,21.28000000000001,99.52000000000001
22.98,9.46,9.3,55.8
11.599999999999998,7.900000000000004,31.04,84.47999999999999
20.8,-15.080000000000002,-15.1,52.2
-33.39999999999999,2.160000000000002,1.440000000000003,85.69999999999999
26.0,9.120000000000001,9.500000000000004,79.74000000000001
35.599999999999994,-15.119999999999997,-15.179999999999996,75.54
37.8,14.280000000000003,14.880000000000003,81.4
10.580000000000007,-0.9999999999999982,-1.0000000000000018,103.93999999999998
53.0,-5.02,-5.039999999999999,63.99999999999999
46.78,-15.12,-15.139999999999997,29.78
-19.02,-7.200000000000001,-6.659999999999998,77.32
-64.24000000000001,20.34,-5.040000000000001,120.28000000000003
11.399999999999991,3.860000000000003,4.5000000000000036,86.76
38.17999999999999,3.8599999999999994,4.260000000000002,68.76
6.399999999999995,-6.739999999999995,-6.419999999999996,78.74000000000001
31.200000000000003,9.3,9.320000000000002,96.72000000000001
28.599999999999994,13.619999999999997,13.380000000000004,101.19999999999999
39.8,9.96,9.96,56.99999999999999
-32.6,-6.260000000000002,-7.1999999999999975,48.759999999999984
-26.000000000000004,1.2200000000000024,1.6199999999999974,101.33999999999997
53.8,13.080000000000004,13.860000000000003,121.53999999999998
12.8,18.940000000000005,18.700000000000003,99.17999999999999
-41.02,11.660000000000004,-11.6,68.73999999999998
46.199999999999996,3.42,3.8999999999999986,41.8
33.4,13.0,12.820000000000002,76.17999999999999
-23.04,-2.8199999999999967,-2.0799999999999965,47.67999999999999
50.56,13.240000000000002,13.3,89.72
41.0,-5.059999999999999,-5.1,66.6
30.19999999999999,13.340000000000002,13.620000000000005,56.339999999999996
-13.799999999999997,12.46,12.079999999999998,63.539999999999985
-34.86,2.76,1.9400000000000048,77.17999999999998
-17.800000000000004,26.460000000000008,26.300000000000004,120.32
-10.020000000000003,-12.88,-12.179999999999998,83.94000000000001
-27.200000000000006,17.880000000000003,-6.539999999999997,95.72
13.399999999999991,-6.759999999999996,-6.959999999999997,76.38000000000001
26.199999999999996,3.240000000000002,3.679999999999998,41.980000000000004
28.39999999999999,-15.12,-15.099999999999998,50.2
-53.02000000000001,-6.779999999999999,-7.340000000000003,91.34
43.0,9.940000000000001,10.0,56.599999999999994
7.0,-20.920000000000005,4.48,21.980000000000004
41.8,-0.03999999999999915,-0.019999999999999574,22.8
33.58,-5.059999999999999,-5.02,42.6
-36.4,2.6600000000000055,3.020000000000005,56.70000000000001
37.8,4.900000000000002,4.940000000000001,48.76
-10.420000000000009,1.1599999999999948,2.820000000000004,56.74000000000001
-35.60000000000001,1.9000000000000021,1.540000000000001,107.71999999999998
-36.42,21.0,21.220000000000006,91.33999999999999
-18.639999999999997,25.820000000000004,1.9999999999999982,79.91999999999997
34.34,18.900000000000002,18.48,105.53999999999999
15.0,-5.059999999999999,-5.039999999999999,18.4
28.0,-5.079999999999998,19.8,42.0
35.78,-0.019999999999999574,0.0,21.8
40.0,-5.059999999999999,19.54,66.0
27.980000000000004,-5.039999999999999,-5.039999999999999,42.78
-60.82000000000001,10.740000000000002,-11.459999999999996,87.27999999999999
37.78,0.0,-0.019999999999999574,48.599999999999994
49.98,14.72,14.5,80.99999999999999
51.0,4.920000000000002,4.9399999999999995,74.0
42.8,29.740000000000006,29.92,69.99999999999999
-36.040000000000006,11.900000000000002,10.719999999999999,62.53999999999999
-31.220000000000002,8.779999999999998,7.42,64.94
40.2,-15.079999999999998,-15.079999999999998,50.2
24.799999999999997,18.72,18.820000000000004,82.93999999999998
37.779999999999994,23.879999999999995,24.720000000000002,89.97999999999999
36.0,14.300000000000002,-10.079999999999998,82.8
45.8,-5.079999999999998,-5.02,41.18000000000001
-22.6,7.440000000000001,31.88000000000001,67.0
35.379999999999995,8.98,8.5,97.75999999999998
-86.63999999999999,20.6,20.42,99.27999999999999
37.980000000000004,4.920000000000002,4.940000000000001,71.8
31.779999999999994,-5.659999999999998,-5.539999999999999,57.18
31.980000000000004,23.900000000000002,-0.6400000000000006,63.98
-26.839999999999996,10.159999999999998,-12.540000000000001,84.51999999999998
25.6,-0.11999999999999922,-0.1399999999999988,65.76
25.799999999999997,4.98,29.720000000000002,27.6
33.400000000000006,9.680000000000001,9.46,101.97999999999999
23.39999999999999,37.1,36.81999999999999,98.57999999999998
57.599999999999994,-5.039999999999999,-5.039999999999999,63.78000000000001
38.980000000000004,4.98,4.9,75.78000000000002
37.980000000000004,-5.02,-5.08,64.8
-3.2199999999999998,4.460000000000008,3.200000000000003,68.94
-20.02,-13.419999999999996,-12.239999999999997,92.33999999999999
-36.03999999999999,-7.18,16.68,100.78
51.8,9.920000000000002,9.96,33.980000000000004
-15.600000000000009,-6.539999999999994,-7.179999999999996,114.11999999999996
34.0,-0.05999999999999872,0.0,49.599999999999994
-24.819999999999997,-6.1399999999999935,-7.559999999999997,114.94
11.75999999999999,26.44,24.82,60.199999999999996
45.8,-10.0,-10.04,60.760000000000005
-25.820000000000007,7.840000000000003,8.060000000000002,105.09999999999998
13.199999999999996,17.04,16.21999999999999,76.7
40.0,-5.059999999999999,-5.0600000000000005,42.38
-54.00000000000001,21.36,21.839999999999996,71.35999999999999
37.8,-0.019999999999999574,-0.019999999999999574,48.980000000000004
25.0,-5.059999999999999,-5.079999999999998,42.58
5.3999999999999915,14.5,12.919999999999996,101.95999999999998
36.0,9.92,9.96,31.78
-8.419999999999998,-0.9600000000000026,-1.5199999999999942,76.88
-114.64,19.020000000000003,20.000000000000007,101.11999999999999
-7.619999999999996,-13.239999999999998,9.400000000000006,92.68000000000002
43.8,24.080000000000002,24.14,91.76
7.799999999999997,13.7,-10.92,99.17999999999999
-11.599999999999998,-1.6199999999999992,-0.8999999999999986,56.359999999999985
-24.6,-7.960000000000001,-7.3799999999999955,51.0
42.0,-0.019999999999999574,-0.03999999999999915,48.760000000000005
37.599999999999994,3.480000000000004,4.480000000000004,90.33999999999999
-35.040000000000006,-12.399999999999993,10.860000000000001,64.13999999999997
17.0,0.0,0.0,47.6
38.8,9.660000000000004,9.900000000000002,70.96
34.39999999999999,4.300000000000001,3.34,43.559999999999995
25.0,0.0,-0.019999999999999574,22.8
43.8,9.96,9.96,56.6
19.199999999999996,-1.1399999999999952,-2.519999999999998,79.94
37.199999999999996,23.92,23.86,88.78
47.8,9.940000000000001,9.940000000000001,54.78
